rawMax;rawMin;rawAve;rawDev;rawVar;fitMax;fitMin;fitAve
8678.98;4298.22;6739.78;848.20;719447.54;8087.74;5042.62;6739.78
6428.32;4298.22;5102.56;563.75;317819.34;6123.07;4483.41;5102.56
7825.83;3918.74;5020.23;723.07;522830.94;6024.28;4626.04;5020.23
6776.15;3653.94;4766.06;641.12;411037.87;5719.27;4238.68;4766.06
7172.78;3630.16;5018.33;835.95;698815.01;6022.00;4371.64;5018.33
7035.98;3630.16;4585.46;714.63;510692.24;5502.55;4227.94;4585.46
7299.08;3630.16;4545.72;740.52;548374.25;5454.87;4243.41;4545.72
7055.47;3630.16;4571.37;684.34;468326.54;5485.64;4224.95;4571.37
6362.55;3630.16;4849.88;745.87;556325.12;5819.85;4067.75;4849.88
6825.04;3630.16;4630.64;776.29;602626.30;5556.77;4208.39;4630.64
6833.42;3630.16;4603.08;748.48;560221.60;5523.70;4201.49;4603.08
5924.43;3630.16;4362.95;623.41;388641.93;5235.54;3953.45;4362.95
6405.86;3630.16;4530.69;746.95;557934.94;5436.82;4095.52;4530.69
6954.23;3630.16;4418.35;695.87;484230.91;5302.02;4143.69;4418.35
6595.94;3630.16;4429.28;735.56;541043.11;5315.14;4102.55;4429.28
7187.17;3630.16;4396.33;703.14;494408.22;5275.60;4154.94;4396.33
6340.42;3630.16;4393.25;711.82;506694.41;5271.90;4048.91;4393.25
6057.54;3630.16;4594.70;660.45;436190.04;5513.64;3988.78;4594.70
6690.91;3630.16;4560.24;779.80;608083.46;5472.29;4162.11;4560.24
7004.41;3630.16;4498.67;826.16;682532.80;5398.40;4186.81;4498.67
6147.20;3630.16;4396.15;674.87;455452.01;5275.39;4011.53;4396.15
6532.82;3630.16;4593.76;780.40;609023.82;5512.51;4137.19;4593.76
5971.83;3590.56;4534.52;767.55;589128.13;5441.43;3938.91;4534.52
6210.18;3487.02;4423.17;689.40;475271.14;5307.81;3959.74;4423.17
6904.68;3487.02;4355.53;696.07;484506.81;5226.64;4058.74;4355.53
6263.96;3427.66;4411.54;687.17;472196.92;5293.85;3942.92;4411.54
5697.33;3400.38;4193.62;659.87;435432.09;5032.35;3751.18;4193.62
6335.67;3400.38;4183.28;745.73;556109.73;5019.94;3878.96;4183.28
6127.74;3400.38;4276.77;718.89;516808.49;5132.12;3871.78;4276.77
5599.34;3400.38;4132.92;696.18;484671.33;4959.50;3720.01;4132.92
6289.69;3386.36;3984.54;638.61;407818.32;4781.45;3777.75;3984.54
6429.97;3386.36;4312.35;672.13;451754.04;5174.82;3935.21;4312.35
6294.53;3386.36;4205.01;721.21;520144.38;5046.01;3875.51;4205.01
6494.71;3346.76;4080.59;730.36;533423.99;4896.71;3832.51;4080.59
6054.67;3346.76;4259.34;737.91;544505.78;5111.21;3826.33;4259.34
5523.78;3346.76;4029.75;666.94;444812.12;4835.70;3661.31;4029.75
6122.53;3346.76;4243.47;735.92;541570.90;5092.17;3838.46;4243.47
6268.69;3346.76;4208.17;788.87;622309.24;5049.80;3856.32;4208.17
6551.65;3346.76;4183.20;723.46;523394.58;5019.84;3887.73;4183.20
6946.96;3346.76;4558.06;727.61;529423.54;5469.67;4095.82;4558.06
6524.48;3346.76;4523.31;729.78;532585.18;5427.97;3991.43;4523.31
6384.00;3346.76;4591.10;734.20;539053.97;5509.32;3953.82;4591.10
6257.09;3346.76;4582.61;692.58;479673.12;5499.14;3906.17;4582.61
6043.42;3346.76;4258.18;694.32;482078.14;5109.82;3823.39;4258.18
6023.23;3346.76;4143.41;739.26;546504.25;4972.09;3792.22;4143.41
5854.89;3346.76;4100.95;756.19;571822.38;4921.13;3748.27;4100.95
6303.57;3346.76;4147.49;747.10;558151.82;4976.99;3839.43;4147.49
5781.95;3346.76;4181.40;722.04;521347.47;5017.68;3745.31;4181.40
6453.22;3346.76;4673.01;624.01;389387.10;5607.61;3976.74;4673.01
6045.26;3346.76;4473.47;647.92;419805.53;5368.17;3832.12;4473.47
6834.64;3346.76;4622.12;689.62;475571.99;5546.55;4089.26;4622.12
6781.54;3346.76;4402.57;728.21;530288.06;5283.08;4011.79;4402.57
6918.90;3346.76;4397.71;806.30;650123.31;5277.25;4031.08;4397.71
6507.86;3346.76;4290.37;762.62;581590.55;5148.44;3925.23;4290.37
